id,created_date,closed_date,agency_name,complaint_type,descriptor,location_type,incident_zip,street_name,borough,community_board,status,open_data_channel_type,latitude,longitude
28524159,07/21/2014 10:34:53 AM,01/05/2015 12:08:25 PM,Department of Parks and Recreation,Trees,Branch or Limb Has Fallen Down,Street,11379,81 STREET,QUEENS,05 QUEENS,Closed,PHONE,40.72484035114874,-73.87791213448328
31775253,10/17/2015 08:36:39 PM,10/17/2015 10:38:14 PM,New York City Police Department,Parking,No Access,Street/Sidewalk,11369,25 AVENUE,QUEENS,03 QUEENS,Closed,ONLINE,40.76463242381882,-73.87162284918391
33854386,07/16/2016 02:13:08 PM,07/19/2016 12:00:00 AM,Department of Buildings,Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10031,WEST  141 STREET,MANHATTAN,09 MANHATTAN,Closed,UNKNOWN,40.822408765090266,-73.94882063297837
34910173,12/03/2016 01:45:49 AM,12/03/2016 04:15:20 AM,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,10458,HOFFMAN STREET,BRONX,06 BRONX,Closed,ONLINE,40.857362824464985,-73.88726304862529
35976898,04/18/2017 03:08:11 PM,04/28/2017 07:24:02 AM,Department of Transportation,Street Condition,Bus Stop,Street,11412,HOLLIS AVENUE,QUEENS,12 QUEENS,Closed,MOBILE,40.7072298225945,-73.75161441307557
37059850,08/29/2017 04:16:10 PM,08/29/2017 04:16:10 PM,Department of Buildings,Construction/Plumbing,Failure To Maintain,,11357,POWELLS COVE BOULEVARD,QUEENS,07 QUEENS,Closed,UNKNOWN,40.79465321091477,-73.80601828536054
43674118,08/29/2019 10:12:56 PM,08/30/2019 03:13:59 AM,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11213,ST MARKS AVENUE,BROOKLYN,08 BROOKLYN,Closed,ONLINE,40.674671386010345,-73.94037914334119
16526163,04/26/2010 12:00:00 AM,04/29/2010 12:00:00 AM,Department of Housing Preservation and Development,Heat / Hot Water,HEAT,RESIDENTIAL BUILDING,11230,EAST 13 STREET,Unspecified,0 Unspecified,Closed,UNKNOWN,40.61127830605949,-73.96063386653479
18939817,10/20/2010 12:00:00 AM,10/25/2010 12:00:00 AM,Department of Housing Preservation and Development,Heat / Hot Water,HEAT,RESIDENTIAL BUILDING,11212,CHRISTOPHER AVENUE,Unspecified,0 Unspecified,Closed,UNKNOWN,40.67262329115683,-73.90661679660097
20071159,03/20/2011 12:00:00 AM,03/24/2011 12:00:00 AM,Department of Housing Preservation and Development,Heat / Hot Water,HEAT,RESIDENTIAL BUILDING,11104,40 STREET,QUEENS,02 QUEENS,Closed,ONLINE,40.74521862208051,-73.92399295130446
24252609,10/23/2012 12:32:13 PM,05/02/2014 09:31:06 AM,Department of Parks and Recreation,Trees,Dead/Dying Tree,Street,10023,WEST 73 STREET,MANHATTAN,07 MANHATTAN,Closed,OTHER,40.777179053950974,-73.97609761622874
23913976,09/02/2012 09:15:33 PM,09/02/2012 10:04:25 PM,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11236,,BROOKLYN,18 BROOKLYN,Closed,PHONE,40.645803121615295,-73.89904368926489
25022935,02/18/2013 12:00:00 AM,02/20/2013 12:00:00 AM,Department of Housing Preservation and Development,Heat / Hot Water,HEAT,RESIDENTIAL BUILDING,11377,41 AVENUE,QUEENS,04 QUEENS,Closed,PHONE,40.74499909172425,-73.89296757512533
